Name,Diameter_km,Location,Age_MYA,Notes,Thermal_Radius_km,Seismic_Magnitude
Vredefort Crater,300,South Africa,2020,"Largest known impact structure; likely caused by a 10–15 km asteroid",500,14
Chicxulub Crater,150,"Yucatán Peninsula, Mexico",66,"Linked to the mass extinction event that wiped out the dinosaurs",250,10
Sudbury Basin,130,"Ontario, Canada",1850,"One of Earth's oldest and largest impact structures; significant nickel and copper deposits",200,9
Popigai Crater,100,"Siberia, Russia",35,"Well-preserved crater; formed by a 5–8 km asteroid",160,8
Manicouagan Crater,100,"Quebec, Canada",215,"Visible from space; formed by a 5–10 km asteroid",160,8
Acraman Crater,90,South Australia,580,"Evidence of early life; ejecta found over 300 km away",140,7
Chesapeake Bay Crater,85,"Virginia, USA",35,"Submerged crater; formed by a 3 km asteroid",135,7
Pingualuit Crater,3.4,"Quebec, Canada",1.4,"Deep, pristine crater lake; formed by a 1–2 km asteroid",5,4
Lonar Crater,1.8,"Maharashtra, India",52,"Only known hyper-velocity impact crater in basaltic rock; formed by a 0.5–1 km asteroid",3,3
Wolfe Creek Crater,0.88,Western Australia,0.3,"One of the largest meteorite craters in the world; formed by a 4–5 m asteroid",1,2
